actor_name,drama_num
Lee Sung Jong,1
Jang Hee Ryung,2
Bae Woo Hee,1
Kang Yul,1
Lee Min Hyuk,3
Baek Seo Yi,1
Kwon Young Min,1
Kim Gun Woo,1
Kim Min Young,1
Yong Jun Hyung,1
Bang Eun Hee,1
Seo Do Young,5
Im Yoon Ho,1
Hwang Bo Mi,1
Lee Chun Hee,1
Lee Tae Ran,2
Shin Eun Kyung,2
Yoon Joo Hee,2
Baek Jin Hee,5
Kim Jong Hoon,1
Chun Jung Myung,3
Yoon Eun Hye,1
In Gyo Jin,1
Kim Hyun Joong,1
Ahn  Ji Hyun,1
So Yoo Jin,2
Kim Hyun Joon,1
Choi Kwang Je,1
Kim Yoon Jin,1
Seungri,1
Son Yeo Eun,1
Kim Won Hae,1
Song  Jae Hee,2
Uhm Ki Joon,3
Im Se Mi,3
Yoo Sun Ho,1
Kim Nam Joo,2
Ahn Hyung Sub,1
Na Hye Mi,1
Choi Soo Jong,1
Yoon Jin Yi,1
Jung Eun Woo,2
Shin Dong Yup,1
Lee  Joo Yeon,3
Ha Hee Ra,3
Ahn Sun Young,1
Go Eun Mi,1
Song Chang Eui,3
Ji Min Hyuk,1
Ahn Seo Hyun,1
Samuel,1
Lee Gi Kwang,3
Yoon So Hee,4
Kim Young Ok,1
Hong Bin,2
Go Soo Hee,1
Hong Soo Ah,1
Lee Young Ah,1
Nam Sang Mi,2
Jo Hyun Jae,2
Byun Yo Han,3
Jeon Soo Jin,1
Lee Joong Moon,1
Seo Hae Won,1
Bu Bae,1
Kim Hyun Mok,1
Choi Woo Jung,1
Park Hwan Hee,1
Yoo Oh Sung,3
Woo Hee Jin,3
Lee In Hye,1
Alex,1
Park Joon Hyuk,1
Ha Yeon Soo,2
Jin Joo Hyung,1
Han Ga In,1
Gu Jae Yi,1
Jang Geun Suk,2
Lee Yoo Bi,3
Lee  Jong Hyun,4
Lee Da Hae,1
Shim Hee Sub,2
Park Shi Yeon,2
Son Seung Won,2
Jo Jae Hyun,3
Heo Yool,1
Gong Yoo Rim,1
No Seong Su,1
Ahn Shi Eun,1
Choi Hee Jin,1
Lee Ho Jung,1
Brian Joo,1
Park Joong Hoon,1
Park Young Gyu,2
Park Hae Mi,1
Kwon Oh Jung,1
Han Young,1
Oh Dae Gyu,2
Kang Seo Joon,1
Ban So Young,1
Kang Hye Jung,1
Go Na Yeon,1
Lee Su Hyun,1
Kim Hee Jung,1
Kim Min Kyo,1
Kwon Young Deuk,1
Dong Ha,1
Na Hae Ryung,3
Kim  Hae In,1
Lee Sung Yeol,1
Lee Dong Ha,2
Han Hye Rin,2
Lee Soon Jae,2
Lee Seo Won,3
Do Ji Won,2
Park  Sang Min,1
Park Sung Woo,1
Cha Jung Won,1
Baek Seung Hwan,1
Jo Jae Yoon,1
Kim Hye Sung,1
Ahn Se Ha,1
Ryu Hyun Kyung,2
Kim Jin Kyung,1
Kai,1
Lee Ye Hyun,1
Baek Chul Min,1
Kang Se Jung,1
Park Jung Ah,1
Kim Da Hyun,1
Yang Dong Geun,1
Choi Jung Won,3
Min Do Hee,1
Seo Young Joo,2
Yang Byeong Yeol,1
Ryu Seung Soo,3
Nichkhun,1
Kim  Joo Hyuk,1
Ohn Joo Wan,3
Shim Hyung Tak,4
Seo Hyo Rim,2
Ji Woo,2
Choi A Ra,1
Kwak Hee Sung,2
Yoon Da Young,1
Hong Ah Reum,2
Kang Da Bin,1
Kim Jae Joong,2
Joo Eo Jin,1
Go Yoon,1
Moon Sung Geun,1
Han Joo Wan,2
Kim Byung Chun,1
Lee Tae Im,2
Lee Jae Woo,1
Yoo Geon,1
Kang Kyung Joon,2
Cha Do Jin,3
Do Ji Han,1
Nam Bo Ra,2
Key,1
Song Sun Mi,1
Kang Sung Yun,2
Lee Pil Mo,2
Park Chul Min,1
Kim So Ri,1
Heo Young Joo,1
Lee Ye Eun,1
Lee Su Ji,1
Teramoto Yukika,1
Gu Bon Seung,1
Choi Yoon So,1
Jung Da Sol,1
Jo Yoon Woo,1
Lee Hyun Jae,1
Lee Hyun Woo,2
Gu Hye Seon,2
Jung Gyu Woon,2
Kim Joo Young,1
Cho Hye Jin,1
Go So Young,1
Park Hyuk Kwon,1
Kim Ji Min,1
Kang  Dong Ho,1
Kim Min Seo,1
Na Ya,1
Heo Young Ran,1
Lee In,1
Kim Hyun Soo,1
Yoon Seung Ah,1
Wang Ji Hye,2
Kim Min Soo,3
Lee Young Eun,1
Kim  Mi Kyung,1
Lee Yoon Ji,2
Jo Yeon Ho,1
Lee Ha Yul,2
Heo Jung Eun,1
Lee Jae Yoon,3
Jin Yi Han,2
Son Ga Young,1
