,daily_views,director_drama_num,screenwriter_drama_num,tot_eps,duration,season_Spring,season_Summer,season_Winter,week_of_weekend,org_terrestrial_TV,org_cable_TV,org_OTT,man_cnt,woman_cnt,play_actor,child_actor,singer_actor,drama_cnt_naver,Romance,Drama,Comedy,Mystery,Thriller,Life,Fantasy,Action,Youth,Business,Family,Historical,Supernatural,Law,Political,Psychological,Crime,Medical,etc
235,21669,1,3,16,70,0,1,0,0,1,0,0,2,2,0,1,0,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,46229,3,1,6,52,0,1,0,0,0,0,1,1,2,0,0,1,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
239,73252,3,4,12,35,0,1,0,0,0,0,1,4,2,0,0,1,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
241,23862,6,4,16,60,0,1,0,0,0,1,1,2,1,0,0,0,22,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
242,8008,9,1,12,63,0,1,0,0,1,1,1,2,0,0,0,1,9,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
243,36516,3,3,16,70,0,1,0,1,0,1,1,3,3,1,0,0,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,39450,4,2,16,75,1,0,0,0,1,0,1,5,1,1,2,0,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
246,72999,7,6,16,70,1,0,0,0,0,1,1,3,2,0,0,1,15,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
247,33453,6,2,13,35,1,0,0,0,0,1,1,1,1,0,0,0,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,29737,2,1,10,52,1,0,0,0,0,0,1,2,1,1,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,164893,4,2,16,65,1,0,0,0,0,2,0,3,2,0,0,1,17,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
250,227400,6,6,16,70,1,0,0,1,0,1,1,0,3,0,0,0,20,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,49776,3,4,12,70,1,0,0,0,1,1,0,2,2,1,0,2,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
252,77299,3,2,12,70,1,0,0,0,1,0,0,2,2,1,0,0,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
253,9747,4,3,20,65,1,0,0,1,0,2,0,2,1,0,0,1,23,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
254,3877,1,4,12,60,1,0,0,1,0,2,0,1,1,0,0,0,20,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
255,70202,10,1,16,75,1,0,0,1,0,1,0,2,2,0,0,0,26,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
256,12534,3,1,16,70,1,0,0,0,1,0,0,1,1,0,0,2,21,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
257,49432,5,2,16,65,1,0,0,0,0,1,1,2,2,0,0,0,17,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
259,225443,2,3,16,65,1,0,0,1,1,0,0,2,2,0,0,0,12,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
260,240560,1,1,10,35,1,0,0,1,0,1,1,3,1,0,0,1,12,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
261,73876,2,1,10,30,1,0,0,0,0,1,0,3,2,0,0,4,13,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
262,56571,6,1,10,25,1,0,0,0,0,0,1,2,1,0,0,1,9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
